time_h,S,DO2,O2,P,V,Wt,pH,T,Q,Viscosity,Culture_age,a0,a1,a3,a4,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,nm,phi0,CO2outgas,CO2_d,PAA,NH3,mu_P_calc,mu_X_calc,Fg,RPM,Fpaa,Fs,Fa,Fb,Fc,Foil,Fh,Fw,pressure,Fremoved
h,g/L,mg/L,O2  (%),g/L,L,Kg,pH,K,kJ,centPoise,h,g/L,g/L,g/L,g/L,-,-,-,-,-,-,-,-,-,-,-,-,%,(mg L^{-1}),PAA (g L^{-1}),NH3 (g L^{-1}),hr^{-1},hr^{-1},L/h,RPM,PAA flow (L/h),L/h,L/h,L/h,L/h,L/hr,L/h,L/h,bar,L/h
0.2,1.180202089,14.68375148,0.215554753,2.230721965e-25,57669.02441,61528.6799,6.608776729,297.9996768,1e-06,4.078852222,0.08931279858,0.155059636,0.2968872556,6.429542616e-29,3.853919033e-33,1468424.002,32396.01882,475.1946502,5.221916439,0.04588879065,0.0003361439334,2.112950037e-06,1.164693245e-08,5.726202333e-11,2.543793165e-13,5.460321645e-14,1.201351578e-05,0.08098690285,0.2107751458,1444.489652,1606.343022,0.007760860811,0.07100557521,30,100,5,8,0,0,1.301194589,22,0.0001,0,0.6,-0
0.4,1.235776719,14.67265042,0.2088813358,3.935949599e-18,57666.38187,61530.51086,6.585574934,297.966939,1e-06,4.159084984,0.1808177909,0.1631366864,0.3000680622,1.272707463e-25,1.500615033e-29,2885147.284,127871.1627,3760.738627,82.79363276,1.456881603,0.02135686304,0.0002683906665,2.952952127e-06,2.890948715e-08,2.547028137e-10,5.466918979e-11,2.360405602e-05,0.09113511708,0.2392199882,1453.658427,1610.318255,0.007755823734,0.07115843584,30,100,5,8,0,0,1.289074154,22,0.0001,0,0.6,-0
0.6,1.290209083,14.66500873,0.2073008609,1.928563461e-18,57663.85284,61532.45394,6.562846351,297.9380133,1e-06,4.24067074,0.2746318746,0.1713181995,0.3037201101,1.084542569e-23,1.909296568e-27,4258007.506,284039.953,12556.99053,415.2579882,10.97141494,0.2413958109,0.004551241403,7.508453031e-05,1.101402616e-06,1.451460382e-08,3.115203902e-09,3.483574245e-05,0.09444437676,0.2484345956,1462.825856,1614.283768,0.007721671055,0.0711473862,30,100,5,8,0.5229066975,0,0.0001,22,0.0001,0,0.6,-0
0.8,1.343485984,14.64757226,0.2068314215,2.914571933e-18,57661.42976,61534.50838,6.540579831,297.9570154,5.040286927,4.323585028,0.3708723936,0.1796255707,0.3078441955,2.543873894e-22,5.963724615e-26,5593715.69,498729.4999,29449.346,1300.165549,45.84409263,1.345775114,0.03384438777,0.0007445735104,1.456037563e-05,2.555233151e-07,5.483831845e-08,4.576347948e-05,0.09640718586,0.2535453052,1471.954786,1618.239311,0.007697320976,0.07121798671,30,100,5,8,1.04462088,0,0.0001,22,12.89071724,0,0.6,-0
1,1.395583571,14.61902519,0.2065328549,7.716074231e-17,57658.79892,61536.36283,6.520810501,297.9315555,1e-06,4.407808804,0.4696625925,0.1880757874,0.3124425635,2.950013667e-21,8.649907871e-25,6898132.785,769976.305,56921.20923,3145.436242,138.7929153,5.098001728,0.1604036812,0.00441466744,0.0001079909909,2.36876918e-06,5.083332029e-07,5.643521688e-05,0.09815663157,0.2583148263,1481.005304,1622.193358,0.007712067646,0.07131877992,30,100,5,8,0,0,4.448268307,22,1.289071724,0,0.6,-0
1.2,1.445891681,14.59079279,0.2062814356,7.765195441e-17,57656.15995,61538.20236,6.501817497,298.0161209,22.42939281,4.493326215,0.571128664,0.1967140898,0.3175331036,2.173028721e-20,7.643881563e-24,8176781.933,1095856.748,97322.35644,6459.79764,342.303785,15.09606218,0.5701882922,0.01883508734,0.0005529033401,1.454155448e-05,3.120389436e-06,6.689614075e-05,0.09993092882,0.2624205143,1489.959695,1626.13921,0.00772847217,0.07169251273,30,100,5,8,0,0,1.334480492,22,30.52565845,0,0.6,-0
1.4,1.494656203,14.56644511,0.2060780269,1.62424653e-16,57653.51508,61540.04102,6.483505617,297.9754426,11.64060342,4.580130513,0.6754139454,0.2055558379,0.3231228747,1.179782853e-19,4.846752915e-23,9434681.851,1474756.819,152941.713,11855.70493,733.6510796,37.78158307,1.666287496,0.0642685954,0.002202778043,6.759866038e-05,1.450467714e-05,7.71873104e-05,0.1017831693,0.2675276771,1498.842029,1630.076423,0.00771780432,0.07207074259,30,100,5,8,0,0,28.13381849,22,3.052565845,0,0.6,-0
1.6,1.542011208,14.55262217,0.2059678369,1.119726263e-16,57652.30412,61543.31541,6.474913294,297.9428257,2.990027612,4.668207522,0.7826430735,0.2145271632,0.3291535668,5.097104378e-19,2.394843079e-22,10676132.31,1905021.156,225919.8473,20031.67669,1417.853346,83.51059296,4.212100064,0.1857833632,0.007281400323,0.0002553474242,5.478648923e-05,8.734390319e-05,0.1037175319,0.2728437727,1507.701986,1633.966057,0.007711654094,0.071794256,30,100,5,8,0,7.117038356,14.070119,22,0.3052565845,0,0.6,-0
1.8,1.587991799,14.54352937,0.2059252819,1.119129463e-16,57653.19287,61548.69263,6.480157027,298.0115824,21.2256845,4.757543407,0.8929374208,0.2236746391,0.3356433403,1.850611458e-18,9.7876833e-22,11904830.51,2385153.906,318314.4501,31774.93113,2532.080014,167.8962699,9.532764438,0.4732775651,0.0208777916,0.0008235323092,0.0001766829426,9.739616687e-05,0.1057348125,0.2776684091,1516.45804,1637.787678,0.007666896278,0.07181958829,30,100,5,8,0,17.64130555,4.221035699,22,25.12050028,0,0.6,-0
2,1.632075799,14.51870262,0.2057652637,1.346404156e-16,57655.75928,61555.74257,6.496202072,297.9765613,11.93697677,4.848125219,1.006416768,0.23295967,0.3425565226,5.860066207e-18,3.445880139e-21,13124280.77,2913724.01,432078.0806,47952.59195,4248.800829,313.2405692,19.77321887,1.091360102,0.05351866323,0.002345328993,0.0005031409824,0.000107372771,0.1078328936,0.2834034286,1525.165823,1641.554045,0.007717806835,0.07145313223,30,100,5,8,0,26.05379998,26.04267069,22,2.512050028,0,0.6,-0
2.2,1.674306726,14.48950875,0.2055477085,1.832933414e-16,57658.7348,61563.19339,6.51342087,297.9498308,4.846766868,4.939941593,1.123202032,0.2424435608,0.3499312003,1.660551597e-17,1.074721926e-20,14337854.96,3489358.32,569051.085,69503.05781,6778.338834,550.040381,38.214606,2.321278569,0.1252694724,0.00603765972,0.001295169069,0.0001173013016,0.1100140309,0.2893391633,1533.798899,1645.29958,0.00778956863,0.07143613615,30,100,5,8,0,28.05712328,13.87906336,22,0.2512050028,0,0.6,-0
2.4,1.715455514,14.46982473,0.20539421,1.750102051e-16,57660.7335,61569.67227,6.523732167,298.0178033,22.87743412,5.032983671,1.243418386,0.2520846333,0.3577295459,4.294591795e-17,3.034080102e-20,15548373.53,4110779.681,730986.7268,97435.68411,10372.43917,918.7589462,69.67343178,4.619242826,0.2720635921,0.0143031959,0.003068052417,0.0001272048335,0.1122760907,0.2947843837,1542.404513,1649.065253,0.007743243344,0.07098724651,30,100,5,8,0,23.20364164,4.163719009,22,23.17675343,0,0.6,-0
